id,user_query,claude_response,user_id,project_id,interaction_timestamp,created_at,updated_at,anonymous_user_id,project_name,installation_id,status,completed_at
f2c41704-d734-4a97-b633-85d1adc7b613,Testing the GoonerSquad MCP server,Server is working perfectly!,Max,Gooner187,2025-09-25 18:21:02.932896+00,2025-09-25 16:21:03.101102+00,2025-09-25 20:55:24.829187+00,Max,Gooner187,,completed,2025-09-25 16:21:03.101102+00
1f9531ea-701a-47b5-8e3d-0cf60304ac52,log this interaction,The logging failed due to row-level security policy restrictions on the `claude_chat_logs` table. The interaction couldn't be logged to the database.,VishiATChoudhary,Gooner123,2025-09-25 07:01:17.977762+00,2025-09-25 05:01:18.184398+00,2025-09-25 20:55:24.829187+00,VishiATChoudhary,Gooner123,,completed,2025-09-25 05:01:18.184398+00
4e811051-bddb-4688-a8f3-3d3f7be821c4,Manual test to check logs,,test-user-logs,test-project-logs,2025-09-25 21:51:50.797+00,2025-09-25 21:51:50.871907+00,2025-09-25 21:51:50.871907+00,test-user-logs,test-project-logs,test-install-logs,pending,
6fb399a7-3a17-4461-90ca-ff0a3a0e0b2b,"this are the logs: Listening on http://localhost:9999/
booted (time: 29ms)
Listening on http://localhost:9999/
booted (time: 28ms)
shutdown
Listening on http://localhost:9999/
booted (time: 51ms)",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:52:53.427+00,2025-09-25 21:52:53.523448+00,2025-09-25 21:52:53.523448+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
051a8d47-b671-4942-819b-b74cad50a221,this is a test,,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:54:07.944+00,2025-09-25 21:54:08.32468+00,2025-09-25 21:54:08.32468+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
fe746809-b392-4ab2-80ea-868429a5a75a,"shutdown
✅ Insert successful, conversation ID: 051a8d47-b671-4942-819b-b74cad50a221
🚀 Inserting data: { ""user_query"": ""this is a test"", ""anonymous_user_id"": ""e3b41869-1444-4bf0-a625-90b0f1d1dffb"", ""project_name"": ""GoonerSquad"", ""installation_id"": ""25d055d1-52cd-4a1c-a6de-d2753e12a9d6"", ""user_id"": ""e3b41869-1444-4bf0-a625-90b0f1d1dffb"", ""project_id"": ""GoonerSquad"", ""interaction_timestamp"": ""2025-09-25T21:54:07.944Z"", ""status"": ""pending"" }
📝 INSERT action starting...
💬 User query (14 chars): this is a test...
📦 Raw request body: {""action"": ""insert"", ""user_query"": ""this is a test"", ""anonymous_user_id"": ""e3b41869-1444-4bf0-a625-90b0f1d1dffb"", ""project_name"": ""GoonerSquad"", ""installation_id"": ""25d055d1-52cd-4a1c-a6de-d2753e12a9d6""}
📋 Installation: 25d055d1-52cd-4a1c-a6de-d2753e12a9d6
✅ Parsed request body: { ""action"": ""insert"", ""user_query"": ""this is a test"", ""anonymous_user_id"": ""e3b41869-1444-4bf0-a625-90b0f1d1dffb"", ""project_name"": ""GoonerSquad"", ""installation_id"": ""25d055d1-52cd-4a1c-a6de-d2753e12a9d6"" }
👤 User ID: e3b41869-1444-4bf0-a625-90b0f1d1dffb
📁 Project: GoonerSquad
🎯 Action: insert
✅ Supabase client initialized
📡 Request from IP: 138.246.3.173,138.246.3.173, 3.2.59.176
🚀 Edge function called: POST http://agfvdbmbebuawvhapmyi.supabase.co/bright-worker
Listening on http://localhost:9999/",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:55:09.278+00,2025-09-25 21:55:09.368737+00,2025-09-25 21:55:09.368737+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
da824f45-18cf-478b-b771-3f185591f31d,"ok lets test if stop is firing at all in the easiest way ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:56:18.187+00,2025-09-25 21:56:18.316725+00,2025-09-25 21:56:18.316725+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
20b1db4a-af60-4013-83fb-cb50eff7df30,"i cant find any temp folder? where is that? ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:58:02.156+00,2025-09-25 21:58:02.263315+00,2025-09-25 21:58:02.263315+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
c260ccb0-9985-414f-b985-cdcc768442f6,pls do in this dir,,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 22:30:14.669+00,2025-09-25 22:30:15.013799+00,2025-09-25 22:30:15.013799+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
62521a75-2c9a-4b81-918c-d67bb680a325,test,,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 22:31:03.811+00,2025-09-25 22:31:04.016439+00,2025-09-25 22:31:04.016439+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
eed66ce0-b4d3-41a1-b20b-00acf21a2230,idk but i can see the log file in my dir,,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 22:33:18.794+00,2025-09-25 22:33:18.858462+00,2025-09-25 22:33:18.858462+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
c9d42791-12cf-4eaa-9bbc-8fa1172abfe2,"can we first just paste everything we get from the hook into file, so that we can analyze it ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 22:35:21.828+00,2025-09-25 22:35:21.94124+00,2025-09-25 22:35:21.94124+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
9cfff808-44d4-407d-8e5e-bf693c25401c,ok test,,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 22:58:01.642+00,2025-09-25 22:58:01.952715+00,2025-09-25 22:58:01.952715+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
ef08fb98-508a-46ff-b421-0bb48cfa40d1,"i found the problem. the transcript is not in the project but the computer: ""transcript_path"":""/Users/maximakishin/.claude/projects/-Users-maximakishin-PycharmProjects-antropipi/6f8a58ae-1145-4f91-8f05-f8aff5478b5f.jsonl""",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 23:03:29.961+00,2025-09-25 23:03:30.166665+00,2025-09-25 23:03:30.166665+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
5e2fafe6-8ab9-487b-9b0f-91a6f1c62b0d,"it works now. lets clean everything up and then make an npm package out of it ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 23:20:18.936+00,2025-09-25 23:20:19.168211+00,2025-09-25 23:20:19.168211+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
5a705492-1e54-40fa-9361-c723c27ea1b5,Test without auth header,,test-user-456,test-project,2025-09-25 21:00:34.887+00,2025-09-25 21:00:35.352246+00,2025-09-25 21:00:35.352246+00,test-user-456,test-project,test-install-789,pending,
f40a2ae8-efee-479f-978b-7d36887c1a57,done,,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:31:54.809+00,2025-09-25 21:31:55.223454+00,2025-09-25 21:31:55.223454+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
7792d4bb-f4ab-40c4-b954-4c3646837183,ok here is the test,,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:32:22.296+00,2025-09-25 21:32:22.368101+00,2025-09-25 21:32:22.368101+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
2f7e25fe-77e1-4932-ba8c-6cc6f267b4bc,"the stop isnt working. you sure that there is no response? maybe output everything from that hook and check it ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:35:02.951+00,2025-09-25 21:35:03.165043+00,2025-09-25 21:35:03.165043+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
e3cc16de-38e3-446e-9c37-f565c5b56c16,"this is the test ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:36:56.768+00,2025-09-25 21:36:56.871887+00,2025-09-25 21:36:56.871887+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
c1d1b8f1-f5df-4c16-91e0-f61d258af5f6,"no you are the problem. this has already worked but we parsed the wrong stuff / not enough ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:39:33.873+00,2025-09-25 21:39:33.946522+00,2025-09-25 21:39:33.946522+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
7d26d692-574a-4484-93d8-9d999b69c3d9,this is another test,,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:40:54.861+00,2025-09-25 21:40:54.91767+00,2025-09-25 21:40:54.91767+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
cd409145-a23c-48f6-a7fb-498645060659,"the supabase logs suggest that stop-fixed is calling the edge function ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:46:18.446+00,2025-09-25 21:46:18.662618+00,2025-09-25 21:46:18.662618+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
79c4d3ec-f1f5-41ed-8e81-2e5047183ef1,"the looks dont show anything. we need to add logs ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:47:07.287+00,2025-09-25 21:47:07.397339+00,2025-09-25 21:47:07.397339+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
46f0118d-bbfe-4d64-9756-4f7b5e7a0e7a,"deployed it ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:50:02.08+00,2025-09-25 21:50:02.602743+00,2025-09-25 21:50:02.602743+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
64d7da3e-fdc6-485d-afc9-40354a7bc8e7,"idk but i cant see any logs in supabse ",,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,2025-09-25 21:51:15.219+00,2025-09-25 21:51:15.284066+00,2025-09-25 21:51:15.284066+00,e3b41869-1444-4bf0-a625-90b0f1d1dffb,GoonerSquad,25d055d1-52cd-4a1c-a6de-d2753e12a9d6,pending,
